Company Symbol,Company Name,FDS Ticker Symbol,Sedol,Entity Country Incorp,MSCI Country,Curncy Iso,Value Traded,Market Value,,GICS Sub Ind Name,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales
AJRD,"Aerojet Rocketdyne Holdings, Inc.",AJRD-US,BWD7PX9,United States,United States,USD,20618370,4541.769,1,Aerospace & Defense,1896.4,1913.4,1895.6,1895.9,1986.2,1971.5,1963.9,1877.2,1881.2,1860.9,1809.7,1761.3,1721.4,1698.1,1746.6,1708.3,1655.6,1634.6,1580.8,1591.9,1637.6,1585.6,1469.1,1383.1,1196,1073.4,1036.7,994.9,948.9
SKYW,"SkyWest, Inc",SKYW-US,2814210,United States,United States,USD,8762142,4108.713,1,Airlines,3031.862,3100.842,3161.974,3221.68,3215.348,3218.009,3222.253,3204.268,3165.126,3132.966,3124.545,3121.205,3115.932,3110.16,3097.239,3095.562,3156.674,3197.303,3225.46,3237.448,3227.961,3244.068,3266.624,3297.725,3304.082,3318.601,3416.685,3534.371,3623.496
MOG.A,Moog Inc. Class A,MOG.A-US,2601218,United States,@NA,USD,8259660,3862.751,1,Aerospace & Defense,2904.769,2840.237,2791.139,2761.306,2709.08,2657.427,2592.515,2537.164,2500.714,2470.589,2457.071,2434.849,2412.417,2416.563,2436.926,2462.87,2524.858,2573.058,2622.927,2635.523,2648.193,2652.622,2639.556,2632.701,2610.311,2567.185,2507.774,2489.721,2469.536
ALGT,Allegiant Travel Company,ALGT-US,B15M2C3,United States,@NA,USD,17082350,3655.917,1,Airlines,1792.004,1748.604,1693.625,1667.576,1633.616,1589.101,1552.695,1502.67,1460.109,1444.749,1388.981,1361.748,1337.044,1303.506,1280.736,1261.185,1229.248,1194.581,1163.286,1137.046,1096.565,1060.41,1025.715,996.15,980.517,968.507,943.827,908.719,879.818
CUB,Cubic Corporation,CUB-US,2239266,United States,@NA,USD,11948520,2602.098,1,Aerospace & Defense,1496.475,1404.986,1318.519,1259.766,1295.191,1361.088,1426.745,1491.868,1485.861,1446.843,1460.214,1482.529,1461.665,1480.994,1453.56,1426.37,1431.045,1401.494,1394.045,1409.703,1398.352,1345.272,1345.36,1355.173,1361.407,1377.808,1402.76,1379.449,1384.825
FWRD,Forward Air Corporation,FWRD-US,2510790,United States,@NA,USD,6420573,2553.007,1,Air Freight & Logistics,1385.451,1355.163,1339.75,1320.887,1270.442,1219.268,1156.443,1100.817,1059.494,1028.845,999.964,982.531,974.158,971.699,982.756,959.125,916.767,871.151,815.309,780.96,747.983,716.539,682.491,652.482,626.922,600.403,588.925,584.446,577.18
HUBG,"Hub Group, Inc. Class A",HUBG-US,2407632,United States,@NA,USD,7672702,2251.401,1,Air Freight & Logistics,3785.729,3805.678,4063.608,4226.581,4370.864,4492,4237.42,4034.897,3850.881,3729.335,3660.379,3572.79,3484.502,3451.557,3495.513,3525.595,3550.684,3564.201,3558.618,3571.126,3541.017,3510.612,3453.367,3373.898,3289.669,3211.576,3153.203,3124.108,3069.152
AVAV,"AeroVironment, Inc.",AVAV-US,B1P5YY8,United States,@NA,USD,10740500,2059.935,1,Aerospace & Defense,333.434,323.142,314.274,343.725,332.338,333.186,298.907,306.902,296.13,272.419,264.873,224.254,238.651,253.266,264.098,265.812,266.649,254.582,259.398,246.425,247.249,259.452,251.703,232.315,210.181,225.592,240.152,296.717,321.594
AIR,AAR CORP.,AIR-US,2001119,United States,@NA,USD,7060899,2029.944,1,Aerospace & Defense,2127,2051.8,1962.6,1889.4,1845.8,1818.7,1837.5,1827.9,1802,1767.6,1733.5,1689.6,1689.6,1662.6,1620.2,1597.5,1663.7,1755.1,1844.7,1939,1989.7,2035,2083.4,2129.2,2101.3,2137.3,2146.846,2160.841,2123.943
HA,"Hawaiian Holdings, Inc.",HA-US,2408044,United States,@NA,USD,14337780,1801.401,1,Airlines,2814.72,2818.671,2824.562,2836.031,2827.27,2788.373,2746.897,2693.237,2641.394,2595.963,2514.83,2450.384,2386.054,2339.11,2312.223,2300.024,2304.737,2316.167,2323.444,2308.356,2262.781,2220.909,2177.602,2146.849,2110.571,2063.6,2017.346,1962.353,1903.342
TGI,"Triumph Group, Inc.",TGI-US,2893071,United States,@NA,USD,8516228,1771.308,1,Aerospace & Defense,3145.987,3212.181,3297.616,3343.994,3291.584,3170.538,3107.088,3130.142,3205.045,3332.079,3443.767,3581.647,3645.431,3725.509,3821.243,3843.727,3881.703,3951.456,3897.69,3753.822,3737.963,3702.22,3751.181,3801.039,3783.827,3763.628,3696.483,3656.591,3598.207
CCO,Clear Channel Outdoor Holdings Inc,CCO-US,BJHVCH9,United States,United States,USD,3781688,1611.146,1,Advertising,2686.166,2696.458,2710.423,2722.018,2703.561,2684.911,2645.25,2591.265,2588.605,2616.573,2656.4,2702.395,2747.989,2771.209,2781.882,2806.204,2836.148,2882.665,2941.051,2961.259,2965.346,2945.565,2931.231,2946.19,2943.288,2951.416,2945.871,2946.944,2959.752
LNN,Lindsay Corporation,LNN-US,2516613,United States,@NA,USD,5892164,1291.865,1,Agricultural & Farm Machinery,444.072,465.456,513.973,535.13,547.705,556.373,538.335,532.121,517.985,518.945,508.731,505.179,516.411,507.054,526.442,546.958,560.181,584.163,593.392,605.107,617.933,618.808,668.414,691.149,690.848,670.268,622.825,579.42,551.255
TTGT,"TechTarget, Inc.",TTGT-US,B1XH822,United States,@NA,USD,2835245,948.5297,1,Advertising,129.887,126.82,124.006,121.333,119.816,117.086,112.278,108.556,104.923,102.661,105.171,106.625,109.359,112.616,113.199,111.826,113.068,110.493,106.884,106.203,99.296,94.975,91.925,88.496,90.116,92.554,95.825,99.991,103.57
AAWW,"Atlas Air Worldwide Holdings, Inc.",AAWW-US,B01Z8P4,United States,@NA,USD,9280693,848.7407,1,Air Freight & Logistics,2757.098,2765.166,2767.393,2677.724,2540.718,2419.859,2271.08,2156.46,2058.233,1970.5,1896.406,1839.627,1781.979,1783.868,1796.429,1822.659,1839.447,1855.344,1840.68,1799.198,1780.934,1720.523,1682.927,1656.9,1639.071,1642.932,1664.064,1646.032,1581.419
NPK,"National Presto Industries, Inc.",NPK-US,2626802,United States,@NA,USD,4007057,809.349,1,Aerospace & Defense,302.859,310.341,323.317,353.31,342.271,337.605,333.633,292.374,314.838,328.262,341.905,400.979,398.802,413.188,427.69,436.305,440.867,426.808,412.363,405.319,410.468,423.552,420.188,426.988,443.189,458.907,472.49,449.706,437.754
ECHO,"Echo Global Logistics, Inc",ECHO-US,B4M7GZ3,United States,@NA,USD,3636445,697.1322,1,Air Freight & Logistics,2236.277,2319.657,2400.693,2439.701,2404.441,2269.15,2104.425,1943.086,1802.221,1752.883,1726.627,1716.152,1716.471,1706.272,1634.085,1512.299,1405.154,1275.726,1209.204,1173.383,1094.678,1008.955,927.8861,884.1933,874.0209,831.9161,793.0959,757.6876,709.395
PKE,Park Aerospace Corp.,PKE-US,BK9TGC1,United States,@NA,USD,1694878,442.4768,1,Aerospace & Defense,58.185,55.673,71.825,82.97,96.256,114.881,111.196,110.991,111.314,110.536,114.609,122.766,130.627,139.516,145.855,146.34,146.696,151.098,162.086,163.996,168.995,171.143,165.764,170.288,171.875,173.808,176.416,177.417,183.464
TWI,"Titan International, Inc.",TWI-US,2890265,United States,@NA,USD,1256497,222.8334,1,Agricultural & Farm Machinery,1510.279,1549.093,1587.4,1602.408,1615.039,1601.308,1536.803,1468.922,1400.182,1335.389,1301.204,1265.497,1266.012,1268.653,1314.506,1394.771,1470.239,1610.982,1758.646,1895.527,2006.657,2054.588,2124.148,2163.595,2162.826,2070.035,1935.977,1820.678,1729.957
